#  log10(E_nu/GeV)_min  log10(E_nu/GeV)_max  Dec_nu_min[deg]  Dec_nu_max[deg]   A_Eff[cm^2]
             6.60          6.80        -66.93        -61.64     728628.68
             6.80          7.00        -66.93        -61.64     996200.08
             7.00          7.20        -66.93        -61.64    1315495.54
             7.20          7.40        -66.93        -61.64    1458978.38
             7.40          7.60        -66.93        -61.64    1603563.38
             7.60          7.80        -66.93        -61.64    1843221.80
             7.80          8.00        -66.93        -61.64    1772051.03
             8.00          8.20        -66.93        -61.64    1683086.36
             8.20          8.40        -66.93        -61.64    1337173.63
             8.40          8.60        -66.93        -61.64    1212705.34
             8.60          8.80        -66.93        -61.64     793204.50
             8.80          9.00        -66.93        -61.64     576585.33
             9.00          9.20        -66.93        -61.64     422474.10
             9.20          9.40        -66.93        -61.64     315971.15
             9.40          9.60        -66.93        -61.64     264933.45
             9.60          9.80        -66.93        -61.64     159716.55
             9.80         10.00        -66.93        -61.64      61915.68
             2.00          2.20        -61.64        -57.14          0.00
             2.20          2.40        -61.64        -57.14          0.00
             2.40          2.60        -61.64        -57.14          0.00
             2.60          2.80        -61.64        -57.14          0.00
             2.80          3.00        -61.64        -57.14          0.00
             3.00          3.20        -61.64        -57.14          0.00
             3.20          3.40        -61.64        -57.14          0.00
             3.40          3.60        -61.64        -57.14          0.00
             3.60          3.80        -61.64        -57.14          0.00
             3.80          4.00        -61.64        -57.14          0.00
             4.00          4.20        -61.64        -57.14          0.00
             4.20          4.40        -61.64        -57.14          0.00
             4.40          4.60        -61.64        -57.14          0.00
             4.60          4.80        -61.64        -57.14          0.00
             4.80          5.00        -61.64        -57.14          0.00
             5.00          5.20        -61.64        -57.14        139.12
             5.20          5.40        -61.64        -57.14       2749.61
             5.40          5.60        -61.64        -57.14       7089.17
             5.60          5.80        -61.64        -57.14      20290.99
             5.80          6.00        -61.64        -57.14      69605.53
             6.00          6.20        -61.64        -57.14     157944.00
             6.20          6.40        -61.64        -57.14     322717.72
             6.40          6.60        -61.64        -57.14     517125.26
             6.60          6.80        -61.64        -57.14     812554.54
             6.80          7.00        -61.64        -57.14    1067242.71
             7.00          7.20        -61.64        -57.14    1280698.79
             7.20          7.40        -61.64        -57.14    1537518.63
             7.40          7.60        -61.64        -57.14    1920013.58
             7.60          7.80        -61.64        -57.14    1890267.93
             7.80          8.00        -61.64        -57.14    2090880.10
             8.00          8.20        -61.64        -57.14    1739203.13
             8.20          8.40        -61.64        -57.14    1705660.76
             8.40          8.60        -61.64        -57.14    1159734.68
             8.60          8.80        -61.64        -57.14     998409.09
             8.80          9.00        -61.64        -57.14     572959.56
             9.00          9.20        -61.64        -57.14     509591.49
             9.20          9.40        -61.64        -57.14     560820.91
             9.40          9.60        -61.64        -57.14     252429.86
             9.60          9.80        -61.64        -57.14     281002.74
             9.80         10.00        -61.64        -57.14     178258.76
             2.00          2.20        -57.14        -53.13          0.00
             2.20          2.40        -57.14        -53.13          0.00
             2.40          2.60        -57.14        -53.13          0.00
             2.60          2.80        -57.14        -53.13          0.00
             2.80          3.00        -57.14        -53.13          0.00
             3.00          3.20        -57.14        -53.13          0.00
             3.20          3.40        -57.14        -53.13          0.00
             3.40          3.60        -57.14        -53.13          0.00
             3.60          3.80        -57.14        -53.13          0.00
             3.80          4.00        -57.14        -53.13          0.00
             4.00          4.20        -57.14        -53.13          0.00
             4.20          4.40        -57.14        -53.13          0.00
             4.40          4.60        -57.14        -53.13          0.00
             4.60          4.80        -57.14        -53.13        115.44
             4.80          5.00        -57.14        -53.13          0.00
             5.00          5.20        -57.14        -53.13        388.37
             5.20          5.40        -57.14        -53.13       2959.23
             5.40          5.60        -57.14        -53.13       7817.93
             5.60          5.80        -57.14        -53.13      27535.51
             5.80          6.00        -57.14        -53.13      71143.23
             6.00          6.20        -57.14        -53.13     158656.25
             6.20          6.40        -57.14        -53.13     355366.93
             6.40          6.60        -57.14        -53.13     581235.62
             6.60          6.80        -57.14        -53.13     801325.34
             6.80          7.00        -57.14        -53.13    1072996.37
             7.00          7.20        -57.14        -53.13    1424983.55
             7.20          7.40        -57.14        -53.13    1769098.15
             7.40          7.60        -57.14        -53.13    1986309.08
             7.60          7.80        -57.14        -53.13    2097182.07
             7.80          8.00        -57.14        -53.13    2163172.72
             8.00          8.20        -57.14        -53.13    2113776.92
             8.20          8.40        -57.14        -53.13    1691787.05
             8.40          8.60        -57.14        -53.13    1344903.93
             8.60          8.80        -57.14        -53.13    1079065.16
             8.80          9.00        -57.14        -53.13     838562.83
             9.00          9.20        -57.14        -53.13     583783.56
             9.20          9.40        -57.14        -53.13     386355.04
             9.40          9.60        -57.14        -53.13     497188.80
             9.60          9.80        -57.14        -53.13     380341.94
             9.80         10.00        -57.14        -53.13     309063.29
             2.00          2.20        -53.13        -49.46          0.00
             2.20          2.40        -53.13        -49.46          0.00
             2.40          2.60        -53.13        -49.46          0.00
             2.60          2.80        -53.13        -49.46          0.00
             2.80          3.00        -53.13        -49.46          0.00
             3.00          3.20        -53.13        -49.46          0.00
             3.20          3.40        -53.13        -49.46          0.00
             3.40          3.60        -53.13        -49.46          0.00
             3.60          3.80        -53.13        -49.46          0.00
             3.80          4.00        -53.13        -49.46          0.00
             4.00          4.20        -53.13        -49.46          0.00
             4.20          4.40        -53.13        -49.46          0.00
             4.40          4.60        -53.13        -49.46          0.00
             4.60          4.80        -53.13        -49.46          0.00
             4.80          5.00        -53.13        -49.46          0.00
             5.00          5.20        -53.13        -49.46        551.42
             5.20          5.40        -53.13        -49.46       2846.73
             5.40          5.60        -53.13        -49.46      15112.10
             5.60          5.80        -53.13        -49.46      33225.53
             5.80          6.00        -53.13        -49.46      69832.17
             6.00          6.20        -53.13        -49.46     188803.28
             6.20          6.40        -53.13        -49.46     399510.22
             6.40          6.60        -53.13        -49.46     664366.08
             6.60          6.80        -53.13        -49.46     933560.17
             6.80          7.00        -53.13        -49.46    1287165.22
             7.00          7.20        -53.13        -49.46    1556408.54
             7.20          7.40        -53.13        -49.46    1880165.57
             7.40          7.60        -53.13        -49.46    2028342.87
             7.60          7.80        -53.13        -49.46    2349451.70
             7.80          8.00        -53.13        -49.46    2283801.96
             8.00          8.20        -53.13        -49.46    2377357.75
             8.20          8.40        -53.13        -49.46    2086330.50
             8.40          8.60        -53.13        -49.46    1496467.20
             8.60          8.80        -53.13        -49.46    1241886.90
             8.80          9.00        -53.13        -49.46     861969.68
             9.00          9.20        -53.13        -49.46     608731.04
             9.20          9.40        -53.13        -49.46     484284.35
             9.40          9.60        -53.13        -49.46     441630.49
             9.60          9.80        -53.13        -49.46     411230.25
             9.80         10.00        -53.13        -49.46     209284.93
             2.00          2.20        -49.46        -46.05          0.00
             2.20          2.40        -49.46        -46.05          0.00
             2.40          2.60        -49.46        -46.05          0.00
             2.60          2.80        -49.46        -46.05          0.00
             2.80          3.00        -49.46        -46.05          0.00
             3.00          3.20        -49.46        -46.05          0.00
             3.20          3.40        -49.46        -46.05          0.00
             3.40          3.60        -49.46        -46.05          0.00
             3.60          3.80        -49.46        -46.05          0.00
             3.80          4.00        -49.46        -46.05          0.00
             4.00          4.20        -49.46        -46.05          0.00
             4.20          4.40        -49.46        -46.05          0.00
             4.40          4.60        -49.46        -46.05          0.00
             4.60          4.80        -49.46        -46.05          0.00
             4.80          5.00        -49.46        -46.05          0.00
             5.00          5.20        -49.46        -46.05        710.66
             5.20          5.40        -49.46        -46.05       3841.44
             5.40          5.60        -49.46        -46.05      11113.52
             5.60          5.80        -49.46        -46.05      30424.53
             5.80          6.00        -49.46        -46.05      91062.46
             6.00          6.20        -49.46        -46.05     195587.56
             6.20          6.40        -49.46        -46.05     433074.21
             6.40          6.60        -49.46        -46.05     711202.78
             6.60          6.80        -49.46        -46.05    1051415.78
             6.80          7.00        -49.46        -46.05    1326822.41
             7.00          7.20        -49.46        -46.05    1669103.40
             7.20          7.40        -49.46        -46.05    2034730.03
             7.40          7.60        -49.46        -46.05    2461418.67
             7.60          7.80        -49.46        -46.05    2620172.06
             7.80          8.00        -49.46        -46.05    2654520.10
             8.00          8.20        -49.46        -46.05    2754822.82
             8.20          8.40        -49.46        -46.05    2336882.95
             8.40          8.60        -49.46        -46.05    1908630.47
             8.60          8.80        -49.46        -46.05    1348903.48
             8.80          9.00        -49.46        -46.05    1037087.56
             9.00          9.20        -49.46        -46.05     794826.54
             9.20          9.40        -49.46        -46.05     666569.34
             9.40          9.60        -49.46        -46.05     531158.96
             9.60          9.80        -49.46        -46.05     465271.82
             9.80         10.00        -49.46        -46.05     275284.38
             2.00          2.20        -46.05        -42.84          0.00
             2.20          2.40        -46.05        -42.84          0.00
             2.40          2.60        -46.05        -42.84          0.00
             2.60          2.80        -46.05        -42.84          0.00
             2.80          3.00        -46.05        -42.84          0.00
             3.00          3.20        -46.05        -42.84          0.00
             3.20          3.40        -46.05        -42.84          0.00
             3.40          3.60        -46.05        -42.84          0.00
             3.60          3.80        -46.05        -42.84          0.00
             3.80          4.00        -46.05        -42.84          0.00
             4.00          4.20        -46.05        -42.84          0.00
             4.20          4.40        -46.05        -42.84          0.00
             4.40          4.60        -46.05        -42.84          0.00
             4.60          4.80        -46.05        -42.84          0.00
             4.80          5.00        -46.05        -42.84        155.35
             5.00          5.20        -46.05        -42.84        982.46
             5.20          5.40        -46.05        -42.84       4302.95
             5.40          5.60        -46.05        -42.84      16553.89
             5.60          5.80        -46.05        -42.84      38251.07
             5.80          6.00        -46.05        -42.84      93211.58
             6.00          6.20        -46.05        -42.84     236762.00
             6.20          6.40        -46.05        -42.84     487688.85
             6.40          6.60        -46.05        -42.84     834804.23
             6.60          6.80        -46.05        -42.84    1199631.54
             6.80          7.00        -46.05        -42.84    1493274.38
             7.00          7.20        -46.05        -42.84    1839797.40
             7.20          7.40        -46.05        -42.84    2302805.23
             7.40          7.60        -46.05        -42.84    2470512.75
             7.60          7.80        -46.05        -42.84    2761640.20
             7.80          8.00        -46.05        -42.84    2972616.88
             8.00          8.20        -46.05        -42.84    3132736.13
             8.20          8.40        -46.05        -42.84    2604105.05
             8.40          8.60        -46.05        -42.84    2039048.49
             8.60          8.80        -46.05        -42.84    1865777.89
             8.80          9.00        -46.05        -42.84    1374114.08
             9.00          9.20        -46.05        -42.84     888428.26
             9.20          9.40        -46.05        -42.84     912091.23
             9.40          9.60        -46.05        -42.84     641309.48
             9.60          9.80        -46.05        -42.84     500180.53
             9.80         10.00        -46.05        -42.84     403729.60
             2.00          2.20        -42.84        -39.79          0.00
             2.20          2.40        -42.84        -39.79          0.00
             2.40          2.60        -42.84        -39.79          0.00
             2.60          2.80        -42.84        -39.79          0.00
             2.80          3.00        -42.84        -39.79          0.00
             3.00          3.20        -42.84        -39.79          0.00
             3.20          3.40        -42.84        -39.79          0.00
             3.40          3.60        -42.84        -39.79          0.00
             3.60          3.80        -42.84        -39.79          0.00
             3.80          4.00        -42.84        -39.79          0.00
             4.00          4.20        -42.84        -39.79          0.00
             4.20          4.40        -42.84        -39.79          0.00
             4.40          4.60        -42.84        -39.79          0.00
             4.60          4.80        -42.84        -39.79          0.00
             4.80          5.00        -42.84        -39.79        137.39
             5.00          5.20        -42.84        -39.79        978.55
             5.20          5.40        -42.84        -39.79       3292.01
             5.40          5.60        -42.84        -39.79      12173.83
             5.60          5.80        -42.84        -39.79      35434.81
             5.80          6.00        -42.84        -39.79     106586.25
             6.00          6.20        -42.84        -39.79     235869.94
             6.20          6.40        -42.84        -39.79     519063.50
             6.40          6.60        -42.84        -39.79     905260.98
             6.60          6.80        -42.84        -39.79    1182313.60
             6.80          7.00        -42.84        -39.79    1602238.10
             7.00          7.20        -42.84        -39.79    1962546.63
             7.20          7.40        -42.84        -39.79    2414712.54
             7.40          7.60        -42.84        -39.79    2884685.01
             7.60          7.80        -42.84        -39.79    3124211.19
             7.80          8.00        -42.84        -39.79    3563474.84
             8.00          8.20        -42.84        -39.79    3288321.54
             8.20          8.40        -42.84        -39.79    2877077.46
             8.40          8.60        -42.84        -39.79    2489674.46
             8.60          8.80        -42.84        -39.79    1993740.13
             8.80          9.00        -42.84        -39.79    1792207.77
             9.00          9.20        -42.84        -39.79    1458282.57
             9.20          9.40        -42.84        -39.79    1003670.64
             9.40          9.60        -42.84        -39.79     784507.13
             9.60          9.80        -42.84        -39.79     734398.24
             9.80         10.00        -42.84        -39.79     534585.65
             2.00          2.20        -39.79        -36.87          0.00
             2.20          2.40        -39.79        -36.87          0.00
             2.40          2.60        -39.79        -36.87          0.00
             2.60          2.80        -39.79        -36.87          0.00
             2.80          3.00        -39.79        -36.87          0.00
             3.00          3.20        -39.79        -36.87          0.00
             3.20          3.40        -39.79        -36.87          0.00
             3.40          3.60        -39.79        -36.87          0.00
             3.60          3.80        -39.79        -36.87          0.00
             3.80          4.00        -39.79        -36.87          0.00
             4.00          4.20        -39.79        -36.87          0.00
             4.20          4.40        -39.79        -36.87          0.00
             4.40          4.60        -39.79        -36.87          0.00
             4.60          4.80        -39.79        -36.87          0.00
             4.80          5.00        -39.79        -36.87        122.29
             5.00          5.20        -39.79        -36.87       1462.59
             5.20          5.40        -39.79        -36.87       4511.64
             5.40          5.60        -39.79        -36.87      14781.24
             5.60          5.80        -39.79        -36.87      48801.14
             5.80          6.00        -39.79        -36.87     128123.56
             6.00          6.20        -39.79        -36.87     271541.61
             6.20          6.40        -39.79        -36.87     582735.08
             6.40          6.60        -39.79        -36.87     979963.58
             6.60          6.80        -39.79        -36.87    1247298.64
             6.80          7.00        -39.79        -36.87    1734865.82
             7.00          7.20        -39.79        -36.87    2121359.05
             7.20          7.40        -39.79        -36.87    2632286.11
             7.40          7.60        -39.79        -36.87    3153424.46
             7.60          7.80        -39.79        -36.87    3244413.15
             7.80          8.00        -39.79        -36.87    3898445.12
             8.00          8.20        -39.79        -36.87    3771488.12
             8.20          8.40        -39.79        -36.87    3385091.48
             8.40          8.60        -39.79        -36.87    3003605.72
             8.60          8.80        -39.79        -36.87    2419985.97
             8.80          9.00        -39.79        -36.87    1924495.29
             9.00          9.20        -39.79        -36.87    1665923.49
             9.20          9.40        -39.79        -36.87    1002095.90
             9.40          9.60        -39.79        -36.87    1005629.63
             9.60          9.80        -39.79        -36.87     759548.29
             9.80         10.00        -39.79        -36.87     617626.01
             2.00          2.20        -36.87        -34.06          0.00
             2.20          2.40        -36.87        -34.06          0.00
             2.40          2.60        -36.87        -34.06          0.00
             2.60          2.80        -36.87        -34.06          0.00
             2.80          3.00        -36.87        -34.06          0.00
             3.00          3.20        -36.87        -34.06          0.00
             3.20          3.40        -36.87        -34.06          0.00
             3.40          3.60        -36.87        -34.06          0.00
             3.60          3.80        -36.87        -34.06          0.00
             3.80          4.00        -36.87        -34.06          0.00
             4.00          4.20        -36.87        -34.06          0.00
             4.20          4.40        -36.87        -34.06          0.00
             4.40          4.60        -36.87        -34.06          0.00
             4.60          4.80        -36.87        -34.06          0.00
             4.80          5.00        -36.87        -34.06        536.04
             5.00          5.20        -36.87        -34.06       2477.77
             5.20          5.40        -36.87        -34.06       7034.74
             5.40          5.60        -36.87        -34.06      15664.66
             5.60          5.80        -36.87        -34.06      57259.26
             5.80          6.00        -36.87        -34.06     139485.99
             6.00          6.20        -36.87        -34.06     322574.17
             6.20          6.40        -36.87        -34.06     651887.55
             6.40          6.60        -36.87        -34.06    1047113.03
             6.60          6.80        -36.87        -34.06    1491406.61
             6.80          7.00        -36.87        -34.06    1923008.94
             7.00          7.20        -36.87        -34.06    2437474.24
             7.20          7.40        -36.87        -34.06    2895804.39
             7.40          7.60        -36.87        -34.06    3253525.57
             7.60          7.80        -36.87        -34.06    3889176.70
             7.80          8.00        -36.87        -34.06    4340515.86
             8.00          8.20        -36.87        -34.06    4221626.54
             8.20          8.40        -36.87        -34.06    3743705.63
             8.40          8.60        -36.87        -34.06    3693844.14
             8.60          8.80        -36.87        -34.06    3123959.65
             8.80          9.00        -36.87        -34.06    2144578.77
             9.00          9.20        -36.87        -34.06    1942774.87
             9.20          9.40        -36.87        -34.06    1824960.36
             9.40          9.60        -36.87        -34.06    1212377.69
             9.60          9.80        -36.87        -34.06    1125084.88
             9.80         10.00        -36.87        -34.06     765059.39
             2.00          2.20        -34.06        -31.33          0.00
             2.20          2.40        -34.06        -31.33          0.00
             2.40          2.60        -34.06        -31.33          0.00
             2.60          2.80        -34.06        -31.33          0.00
             2.80          3.00        -34.06        -31.33          0.00
             3.00          3.20        -34.06        -31.33          0.00
             3.20          3.40        -34.06        -31.33          0.00
             3.40          3.60        -34.06        -31.33          0.00
             3.60          3.80        -34.06        -31.33          0.00
             3.80          4.00        -34.06        -31.33          0.00
             4.00          4.20        -34.06        -31.33          0.00
             4.20          4.40        -34.06        -31.33          0.00
             4.40          4.60        -34.06        -31.33          0.00
             4.60          4.80        -34.06        -31.33          0.00
             4.80          5.00        -34.06        -31.33        616.33
             5.00          5.20        -34.06        -31.33       1937.27
             5.20          5.40        -34.06        -31.33       8724.89
             5.40          5.60        -34.06        -31.33      21526.32
             5.60          5.80        -34.06        -31.33      66138.58
             5.80          6.00        -34.06        -31.33     166549.33
             6.00          6.20        -34.06        -31.33     378405.23
             6.20          6.40        -34.06        -31.33     714702.22
             6.40          6.60        -34.06        -31.33    1055867.36
             6.60          6.80        -34.06        -31.33    1567110.45
             6.80          7.00        -34.06        -31.33    2120647.64
             7.00          7.20        -34.06        -31.33    2558779.00
             7.20          7.40        -34.06        -31.33    3273174.36
             7.40          7.60        -34.06        -31.33    3649812.03
             7.60          7.80        -34.06        -31.33    4339678.18
             7.80          8.00        -34.06        -31.33    4592804.56
             8.00          8.20        -34.06        -31.33    4900635.57
             8.20          8.40        -34.06        -31.33    4536029.02
             8.40          8.60        -34.06        -31.33    4070640.34
             8.60          8.80        -34.06        -31.33    3808112.31
             8.80          9.00        -34.06        -31.33    3024328.49
             9.00          9.20        -34.06        -31.33    2331008.57
             9.20          9.40        -34.06        -31.33    2140884.97
             9.40          9.60        -34.06        -31.33    1354048.13
             9.60          9.80        -34.06        -31.33    1500303.04
             9.80         10.00        -34.06        -31.33     891971.15
             2.00          2.20        -31.33        -28.69          0.00
             2.20          2.40        -31.33        -28.69          0.00
             2.40          2.60        -31.33        -28.69          0.00
             2.60          2.80        -31.33        -28.69          0.00
             2.80          3.00        -31.33        -28.69          0.00
             3.00          3.20        -31.33        -28.69          0.00
             3.20          3.40        -31.33        -28.69          0.00
             3.40          3.60        -31.33        -28.69          0.00
             3.60          3.80        -31.33        -28.69          0.00
             3.80          4.00        -31.33        -28.69          0.00
             4.00          4.20        -31.33        -28.69          0.00
             4.20          4.40        -31.33        -28.69          0.00
             4.40          4.60        -31.33        -28.69          0.00
             4.60          4.80        -31.33        -28.69          0.00
             4.80          5.00        -31.33        -28.69       1178.33
             5.00          5.20        -31.33        -28.69       3173.87
             5.20          5.40        -31.33        -28.69       9537.48
             5.40          5.60        -31.33        -28.69      30839.02
             5.60          5.80        -31.33        -28.69      90116.96
             5.80          6.00        -31.33        -28.69     199590.70
             6.00          6.20        -31.33        -28.69     387021.13
             6.20          6.40        -31.33        -28.69     774943.97
             6.40          6.60        -31.33        -28.69    1180191.09
             6.60          6.80        -31.33        -28.69    1729931.87
             6.80          7.00        -31.33        -28.69    2417476.25
             7.00          7.20        -31.33        -28.69    2726083.91
             7.20          7.40        -31.33        -28.69    3495428.19
             7.40          7.60        -31.33        -28.69    3925453.54
             7.60          7.80        -31.33        -28.69    5047916.52
             7.80          8.00        -31.33        -28.69    5043874.74
             8.00          8.20        -31.33        -28.69    5368264.92
             8.20          8.40        -31.33        -28.69    5402703.51
             8.40          8.60        -31.33        -28.69    4980999.26
             8.60          8.80        -31.33        -28.69    4503020.16
             8.80          9.00        -31.33        -28.69    3861479.28
             9.00          9.20        -31.33        -28.69    3229653.32
             9.20          9.40        -31.33        -28.69    2479060.41
             9.40          9.60        -31.33        -28.69    1964050.10
             9.60          9.80        -31.33        -28.69    1598684.60
             9.80         10.00        -31.33        -28.69    1558182.69
             2.00          2.20        -28.69        -26.10          0.00
             2.20          2.40        -28.69        -26.10          0.00
             2.40          2.60        -28.69        -26.10          0.00
             2.60          2.80        -28.69        -26.10          0.00
             2.80          3.00        -28.69        -26.10          0.00
             3.00          3.20        -28.69        -26.10          0.00
             3.20          3.40        -28.69        -26.10          0.00
             3.40          3.60        -28.69        -26.10          0.00
             3.60          3.80        -28.69        -26.10          0.00
             3.80          4.00        -28.69        -26.10          0.00
             4.00          4.20        -28.69        -26.10          0.00
             4.20          4.40        -28.69        -26.10          0.00
             4.40          4.60        -28.69        -26.10          0.00
             4.60          4.80        -28.69        -26.10        285.64
             4.80          5.00        -28.69        -26.10       1368.53
             5.00          5.20        -28.69        -26.10       3386.01
             5.20          5.40        -28.69        -26.10       9116.48
             5.40          5.60        -28.69        -26.10      34622.51
             5.60          5.80        -28.69        -26.10      86030.92
             5.80          6.00        -28.69        -26.10     228873.91
             6.00          6.20        -28.69        -26.10     481098.05
             6.20          6.40        -28.69        -26.10     873011.69
             6.40          6.60        -28.69        -26.10    1376018.10
             6.60          6.80        -28.69        -26.10    1935288.89
             6.80          7.00        -28.69        -26.10    2420939.12
             7.00          7.20        -28.69        -26.10    3083738.46
             7.20          7.40        -28.69        -26.10    3741712.70
             7.40          7.60        -28.69        -26.10    4767318.31
             7.60          7.80        -28.69        -26.10    5456609.00
             7.80          8.00        -28.69        -26.10    6080360.70
             8.00          8.20        -28.69        -26.10    6323248.22
             8.20          8.40        -28.69        -26.10    6681295.19
             8.40          8.60        -28.69        -26.10    5712418.96
             8.60          8.80        -28.69        -26.10    5614098.66
             8.80          9.00        -28.69        -26.10    4436939.97
             9.00          9.20        -28.69        -26.10    3537163.48
             9.20          9.40        -28.69        -26.10    3323003.78
             9.40          9.60        -28.69        -26.10    2603556.06
             9.60          9.80        -28.69        -26.10    2221100.91
             9.80         10.00        -28.69        -26.10    1842140.15
             2.00          2.20        -26.10        -23.58          0.00
             2.20          2.40        -26.10        -23.58          0.00
             2.40          2.60        -26.10        -23.58          0.00
             2.60          2.80        -26.10        -23.58          0.00
             2.80          3.00        -26.10        -23.58          0.00
             3.00          3.20        -26.10        -23.58          0.00
             3.20          3.40        -26.10        -23.58          0.00
             3.40          3.60        -26.10        -23.58          0.00
             3.60          3.80        -26.10        -23.58          0.00
             3.80          4.00        -26.10        -23.58          0.00
             4.00          4.20        -26.10        -23.58          0.00
             4.20          4.40        -26.10        -23.58          0.00
             4.40          4.60        -26.10        -23.58          0.00
             4.60          4.80        -26.10        -23.58        539.88
             4.80          5.00        -26.10        -23.58       2112.82
             5.00          5.20        -26.10        -23.58       4924.63
             5.20          5.40        -26.10        -23.58      12207.64
             5.40          5.60        -26.10        -23.58      42308.11
             5.60          5.80        -26.10        -23.58     107519.93
