#  log10(E_nu/GeV)_min  log10(E_nu/GeV)_max  Dec_nu_min[deg]  Dec_nu_max[deg]   A_Eff[cm^2]
             6.60          6.80        -66.93        -61.64    2327773.70
             6.80          7.00        -66.93        -61.64    3008584.23
             7.00          7.20        -66.93        -61.64    3816374.83
             7.20          7.40        -66.93        -61.64    5012576.70
             7.40          7.60        -66.93        -61.64    6487423.67
             7.60          7.80        -66.93        -61.64    6875646.71
             7.80          8.00        -66.93        -61.64    8834587.60
             8.00          8.20        -66.93        -61.64   11155575.15
             8.20          8.40        -66.93        -61.64   12673846.47
             8.40          8.60        -66.93        -61.64   16170249.60
             8.60          8.80        -66.93        -61.64   17289348.84
             8.80          9.00        -66.93        -61.64   21792354.35
             9.00          9.20        -66.93        -61.64          0.00
             9.20          9.40        -66.93        -61.64          0.00
             9.40          9.60        -66.93        -61.64          0.00
             9.60          9.80        -66.93        -61.64          0.00
             9.80         10.00        -66.93        -61.64          0.00
             2.00          2.20        -61.64        -57.14          0.00
             2.20          2.40        -61.64        -57.14          0.00
             2.40          2.60        -61.64        -57.14          0.00
             2.60          2.80        -61.64        -57.14          0.00
             2.80          3.00        -61.64        -57.14          0.00
             3.00          3.20        -61.64        -57.14          0.00
             3.20          3.40        -61.64        -57.14          0.00
             3.40          3.60        -61.64        -57.14          0.00
             3.60          3.80        -61.64        -57.14          0.56
             3.80          4.00        -61.64        -57.14          0.00
             4.00          4.20        -61.64        -57.14          4.25
             4.20          4.40        -61.64        -57.14          0.00
             4.40          4.60        -61.64        -57.14         40.36
             4.60          4.80        -61.64        -57.14        262.37
             4.80          5.00        -61.64        -57.14       2076.97
             5.00          5.20        -61.64        -57.14       9028.45
             5.20          5.40        -61.64        -57.14      36226.48
             5.40          5.60        -61.64        -57.14     109692.80
             5.60          5.80        -61.64        -57.14     247433.47
             5.80          6.00        -61.64        -57.14     474885.24
             6.00          6.20        -61.64        -57.14     801543.75
             6.20          6.40        -61.64        -57.14    1201108.06
             6.40          6.60        -61.64        -57.14    1719678.63
             6.60          6.80        -61.64        -57.14    2337706.10
             6.80          7.00        -61.64        -57.14    3032657.56
             7.00          7.20        -61.64        -57.14    3832165.55
             7.20          7.40        -61.64        -57.14    5009107.96
             7.40          7.60        -61.64        -57.14    5882843.90
             7.60          7.80        -61.64        -57.14    7855991.11
             7.80          8.00        -61.64        -57.14    9988796.63
             8.00          8.20        -61.64        -57.14   11515830.15
             8.20          8.40        -61.64        -57.14   14443441.48
             8.40          8.60        -61.64        -57.14   17281293.93
             8.60          8.80        -61.64        -57.14   19505123.77
             8.80          9.00        -61.64        -57.14   22800264.05
             9.00          9.20        -61.64        -57.14          0.00
             9.20          9.40        -61.64        -57.14          0.00
             9.40          9.60        -61.64        -57.14          0.00
             9.60          9.80        -61.64        -57.14          0.00
             9.80         10.00        -61.64        -57.14          0.00
             2.00          2.20        -57.14        -53.13          0.00
             2.20          2.40        -57.14        -53.13          0.00
             2.40          2.60        -57.14        -53.13          0.00
             2.60          2.80        -57.14        -53.13          0.00
             2.80          3.00        -57.14        -53.13          0.00
             3.00          3.20        -57.14        -53.13          0.10
             3.20          3.40        -57.14        -53.13          0.17
             3.40          3.60        -57.14        -53.13          0.48
             3.60          3.80        -57.14        -53.13          0.00
             3.80          4.00        -57.14        -53.13          0.71
             4.00          4.20        -57.14        -53.13          0.00
             4.20          4.40        -57.14        -53.13          8.31
             4.40          4.60        -57.14        -53.13         13.39
             4.60          4.80        -57.14        -53.13        224.87
             4.80          5.00        -57.14        -53.13       1895.65
             5.00          5.20        -57.14        -53.13       7480.36
             5.20          5.40        -57.14        -53.13      37842.63
             5.40          5.60        -57.14        -53.13      98607.21
             5.60          5.80        -57.14        -53.13     248866.79
             5.80          6.00        -57.14        -53.13     478991.88
             6.00          6.20        -57.14        -53.13     779285.64
             6.20          6.40        -57.14        -53.13    1215251.99
             6.40          6.60        -57.14        -53.13    1765499.54
             6.60          6.80        -57.14        -53.13    2411014.72
             6.80          7.00        -57.14        -53.13    3185152.65
             7.00          7.20        -57.14        -53.13    4298041.58
             7.20          7.40        -57.14        -53.13    5185767.34
             7.40          7.60        -57.14        -53.13    6769584.79
             7.60          7.80        -57.14        -53.13    7970043.70
             7.80          8.00        -57.14        -53.13   10350689.62
             8.00          8.20        -57.14        -53.13   12492731.81
             8.20          8.40        -57.14        -53.13   14511997.37
             8.40          8.60        -57.14        -53.13   17082837.85
             8.60          8.80        -57.14        -53.13   20798487.78
             8.80          9.00        -57.14        -53.13   22842431.28
             9.00          9.20        -57.14        -53.13          0.00
             9.20          9.40        -57.14        -53.13          0.00
             9.40          9.60        -57.14        -53.13          0.00
             9.60          9.80        -57.14        -53.13          0.00
             9.80         10.00        -57.14        -53.13          0.00
             2.00          2.20        -53.13        -49.46          0.00
             2.20          2.40        -53.13        -49.46          0.00
             2.40          2.60        -53.13        -49.46          0.00
             2.60          2.80        -53.13        -49.46          0.00
             2.80          3.00        -53.13        -49.46          0.00
             3.00          3.20        -53.13        -49.46          0.06
             3.20          3.40        -53.13        -49.46          0.13
             3.40          3.60        -53.13        -49.46          0.00
             3.60          3.80        -53.13        -49.46          0.00
             3.80          4.00        -53.13        -49.46          0.00
             4.00          4.20        -53.13        -49.46          0.00
             4.20          4.40        -53.13        -49.46          0.00
             4.40          4.60        -53.13        -49.46         39.71
             4.60          4.80        -53.13        -49.46        248.00
             4.80          5.00        -53.13        -49.46       1581.44
             5.00          5.20        -53.13        -49.46       8215.96
             5.20          5.40        -53.13        -49.46      33080.08
             5.40          5.60        -53.13        -49.46     103523.28
             5.60          5.80        -53.13        -49.46     241186.69
             5.80          6.00        -53.13        -49.46     453638.16
             6.00          6.20        -53.13        -49.46     807912.31
             6.20          6.40        -53.13        -49.46    1277724.41
             6.40          6.60        -53.13        -49.46    1823822.36
             6.60          6.80        -53.13        -49.46    2589271.33
             6.80          7.00        -53.13        -49.46    3368045.70
             7.00          7.20        -53.13        -49.46    4344921.95
             7.20          7.40        -53.13        -49.46    5489245.13
             7.40          7.60        -53.13        -49.46    6920690.63
             7.60          7.80        -53.13        -49.46    8557547.93
             7.80          8.00        -53.13        -49.46   10727021.34
             8.00          8.20        -53.13        -49.46   12173190.71
             8.20          8.40        -53.13        -49.46   15590244.58
             8.40          8.60        -53.13        -49.46   19215770.56
             8.60          8.80        -53.13        -49.46   21539766.17
             8.80          9.00        -53.13        -49.46   21907962.18
             9.00          9.20        -53.13        -49.46          0.00
             9.20          9.40        -53.13        -49.46          0.00
             9.40          9.60        -53.13        -49.46          0.00
             9.60          9.80        -53.13        -49.46          0.00
             9.80         10.00        -53.13        -49.46          0.00
             2.00          2.20        -49.46        -46.05          0.00
             2.20          2.40        -49.46        -46.05          0.00
             2.40          2.60        -49.46        -46.05          0.00
             2.60          2.80        -49.46        -46.05          0.00
             2.80          3.00        -49.46        -46.05          0.00
             3.00          3.20        -49.46        -46.05          0.00
             3.20          3.40        -49.46        -46.05          0.20
             3.40          3.60        -49.46        -46.05          0.57
             3.60          3.80        -49.46        -46.05          0.53
             3.80          4.00        -49.46        -46.05          3.06
             4.00          4.20        -49.46        -46.05          6.02
             4.20          4.40        -49.46        -46.05          0.00
             4.40          4.60        -49.46        -46.05         10.17
             4.60          4.80        -49.46        -46.05         47.19
             4.80          5.00        -49.46        -46.05       1740.78
             5.00          5.20        -49.46        -46.05       8506.26
             5.20          5.40        -49.46        -46.05      35594.83
             5.40          5.60        -49.46        -46.05      94906.67
             5.60          5.80        -49.46        -46.05     243730.61
             5.80          6.00        -49.46        -46.05     462327.11
             6.00          6.20        -49.46        -46.05     840106.99
             6.20          6.40        -49.46        -46.05    1326694.93
             6.40          6.60        -49.46        -46.05    1804627.93
             6.60          6.80        -49.46        -46.05    2595790.10
             6.80          7.00        -49.46        -46.05    3430753.78
             7.00          7.20        -49.46        -46.05    4242006.31
             7.20          7.40        -49.46        -46.05    6063188.78
             7.40          7.60        -49.46        -46.05    7568637.75
             7.60          7.80        -49.46        -46.05    9000542.60
             7.80          8.00        -49.46        -46.05   10939319.12
             8.00          8.20        -49.46        -46.05   13792663.87
             8.20          8.40        -49.46        -46.05   16266766.63
             8.40          8.60        -49.46        -46.05   18491540.30
             8.60          8.80        -49.46        -46.05   23696236.74
             8.80          9.00        -49.46        -46.05   23722684.52
             9.00          9.20        -49.46        -46.05          0.00
             9.20          9.40        -49.46        -46.05          0.00
             9.40          9.60        -49.46        -46.05          0.00
             9.60          9.80        -49.46        -46.05          0.00
             9.80         10.00        -49.46        -46.05          0.00
             2.00          2.20        -46.05        -42.84          0.00
             2.20          2.40        -46.05        -42.84          0.00
             2.40          2.60        -46.05        -42.84          0.00
             2.60          2.80        -46.05        -42.84          0.00
             2.80          3.00        -46.05        -42.84          0.00
             3.00          3.20        -46.05        -42.84          0.10
             3.20          3.40        -46.05        -42.84          0.00
             3.40          3.60        -46.05        -42.84          0.45
             3.60          3.80        -46.05        -42.84          0.36
             3.80          4.00        -46.05        -42.84          0.00
             4.00          4.20        -46.05        -42.84          0.00
             4.20          4.40        -46.05        -42.84          9.04
             4.40          4.60        -46.05        -42.84         18.76
             4.60          4.80        -46.05        -42.84        338.42
             4.80          5.00        -46.05        -42.84       1284.76
             5.00          5.20        -46.05        -42.84       8535.00
             5.20          5.40        -46.05        -42.84      34130.31
             5.40          5.60        -46.05        -42.84     107132.83
             5.60          5.80        -46.05        -42.84     244822.96
             5.80          6.00        -46.05        -42.84     501802.43
             6.00          6.20        -46.05        -42.84     892266.82
             6.20          6.40        -46.05        -42.84    1368078.44
             6.40          6.60        -46.05        -42.84    1987904.06
             6.60          6.80        -46.05        -42.84    2772271.59
             6.80          7.00        -46.05        -42.84    3698400.95
             7.00          7.20        -46.05        -42.84    4394042.15
             7.20          7.40        -46.05        -42.84    6253449.21
             7.40          7.60        -46.05        -42.84    7447046.06
             7.60          7.80        -46.05        -42.84   10241285.59
             7.80          8.00        -46.05        -42.84   11118676.78
             8.00          8.20        -46.05        -42.84   13215783.48
             8.20          8.40        -46.05        -42.84   16392284.62
             8.40          8.60        -46.05        -42.84   18205855.64
             8.60          8.80        -46.05        -42.84   23560454.66
             8.80          9.00        -46.05        -42.84   27505278.17
             9.00          9.20        -46.05        -42.84          0.00
             9.20          9.40        -46.05        -42.84          0.00
             9.40          9.60        -46.05        -42.84          0.00
             9.60          9.80        -46.05        -42.84          0.00
             9.80         10.00        -46.05        -42.84          0.00
             2.00          2.20        -42.84        -39.79          0.00
             2.20          2.40        -42.84        -39.79          0.00
             2.40          2.60        -42.84        -39.79          0.00
             2.60          2.80        -42.84        -39.79          0.00
             2.80          3.00        -42.84        -39.79          0.00
             3.00          3.20        -42.84        -39.79          0.00
             3.20          3.40        -42.84        -39.79          0.35
             3.40          3.60        -42.84        -39.79          0.00
             3.60          3.80        -42.84        -39.79          0.00
             3.80          4.00        -42.84        -39.79          0.80
             4.00          4.20        -42.84        -39.79          0.00
             4.20          4.40        -42.84        -39.79          6.48
             4.40          4.60        -42.84        -39.79         14.15
             4.60          4.80        -42.84        -39.79         78.39
             4.80          5.00        -42.84        -39.79       1274.85
             5.00          5.20        -42.84        -39.79      10558.11
             5.20          5.40        -42.84        -39.79      41464.18
             5.40          5.60        -42.84        -39.79     108485.86
             5.60          5.80        -42.84        -39.79     261983.39
             5.80          6.00        -42.84        -39.79     530971.42
             6.00          6.20        -42.84        -39.79     895360.29
             6.20          6.40        -42.84        -39.79    1477970.81
             6.40          6.60        -42.84        -39.79    2082614.84
             6.60          6.80        -42.84        -39.79    2851692.59
             6.80          7.00        -42.84        -39.79    3806369.95
             7.00          7.20        -42.84        -39.79    4913333.00
             7.20          7.40        -42.84        -39.79    6284823.61
             7.40          7.60        -42.84        -39.79    8267427.09
             7.60          7.80        -42.84        -39.79    9708634.66
             7.80          8.00        -42.84        -39.79   11699660.50
             8.00          8.20        -42.84        -39.79   14233336.58
             8.20          8.40        -42.84        -39.79   18454685.33
             8.40          8.60        -42.84        -39.79   21347498.26
             8.60          8.80        -42.84        -39.79   22150848.75
             8.80          9.00        -42.84        -39.79   28300628.47
             9.00          9.20        -42.84        -39.79          0.00
             9.20          9.40        -42.84        -39.79          0.00
             9.40          9.60        -42.84        -39.79          0.00
             9.60          9.80        -42.84        -39.79          0.00
             9.80         10.00        -42.84        -39.79          0.00
             2.00          2.20        -39.79        -36.87          0.00
             2.20          2.40        -39.79        -36.87          0.00
             2.40          2.60        -39.79        -36.87          0.00
             2.60          2.80        -39.79        -36.87          0.00
             2.80          3.00        -39.79        -36.87          0.00
             3.00          3.20        -39.79        -36.87          0.00
             3.20          3.40        -39.79        -36.87          0.26
             3.40          3.60        -39.79        -36.87          0.93
             3.60          3.80        -39.79        -36.87          0.00
             3.80          4.00        -39.79        -36.87          0.00
             4.00          4.20        -39.79        -36.87          0.00
             4.20          4.40        -39.79        -36.87         10.97
             4.40          4.60        -39.79        -36.87         26.10
             4.60          4.80        -39.79        -36.87        295.75
             4.80          5.00        -39.79        -36.87       1845.41
             5.00          5.20        -39.79        -36.87      11088.51
             5.20          5.40        -39.79        -36.87      41102.68
             5.40          5.60        -39.79        -36.87     110230.86
             5.60          5.80        -39.79        -36.87     299097.66
             5.80          6.00        -39.79        -36.87     577336.24
             6.00          6.20        -39.79        -36.87     979170.78
             6.20          6.40        -39.79        -36.87    1591856.88
             6.40          6.60        -39.79        -36.87    2259440.53
             6.60          6.80        -39.79        -36.87    3106485.56
             6.80          7.00        -39.79        -36.87    4121467.74
             7.00          7.20        -39.79        -36.87    5389344.29
             7.20          7.40        -39.79        -36.87    7145936.89
             7.40          7.60        -39.79        -36.87    8365309.93
             7.60          7.80        -39.79        -36.87   10122263.81
             7.80          8.00        -39.79        -36.87   13216242.19
             8.00          8.20        -39.79        -36.87   14971952.80
             8.20          8.40        -39.79        -36.87   17414447.28
             8.40          8.60        -39.79        -36.87   22491808.21
             8.60          8.80        -39.79        -36.87   24196627.90
             8.80          9.00        -39.79        -36.87   30307657.73
             9.00          9.20        -39.79        -36.87          0.00
             9.20          9.40        -39.79        -36.87          0.00
             9.40          9.60        -39.79        -36.87          0.00
             9.60          9.80        -39.79        -36.87          0.00
             9.80         10.00        -39.79        -36.87          0.00
             2.00          2.20        -36.87        -34.06          0.00
             2.20          2.40        -36.87        -34.06          0.00
             2.40          2.60        -36.87        -34.06          0.00
             2.60          2.80        -36.87        -34.06          0.00
             2.80          3.00        -36.87        -34.06          0.00
             3.00          3.20        -36.87        -34.06          0.05
             3.20          3.40        -36.87        -34.06          0.00
             3.40          3.60        -36.87        -34.06          0.00
             3.60          3.80        -36.87        -34.06          0.00
             3.80          4.00        -36.87        -34.06          4.94
             4.00          4.20        -36.87        -34.06          0.00
             4.20          4.40        -36.87        -34.06          0.00
             4.40          4.60        -36.87        -34.06         63.64
             4.60          4.80        -36.87        -34.06        300.55
             4.80          5.00        -36.87        -34.06       1716.79
             5.00          5.20        -36.87        -34.06      11925.45
             5.20          5.40        -36.87        -34.06      50701.52
             5.40          5.60        -36.87        -34.06     137441.77
             5.60          5.80        -36.87        -34.06     342026.38
             5.80          6.00        -36.87        -34.06     631275.26
             6.00          6.20        -36.87        -34.06    1087374.98
             6.20          6.40        -36.87        -34.06    1719713.89
             6.40          6.60        -36.87        -34.06    2369821.75
             6.60          6.80        -36.87        -34.06    3187896.93
             6.80          7.00        -36.87        -34.06    4383351.27
             7.00          7.20        -36.87        -34.06    5616324.27
             7.20          7.40        -36.87        -34.06    7254695.61
             7.40          7.60        -36.87        -34.06    8203072.05
             7.60          7.80        -36.87        -34.06   10959446.13
             7.80          8.00        -36.87        -34.06   13666436.27
             8.00          8.20        -36.87        -34.06   16064011.89
             8.20          8.40        -36.87        -34.06   19686059.75
             8.40          8.60        -36.87        -34.06   22823425.72
             8.60          8.80        -36.87        -34.06   27595600.95
             8.80          9.00        -36.87        -34.06   31223366.34
             9.00          9.20        -36.87        -34.06          0.00
             9.20          9.40        -36.87        -34.06          0.00
             9.40          9.60        -36.87        -34.06          0.00
             9.60          9.80        -36.87        -34.06          0.00
             9.80         10.00        -36.87        -34.06          0.00
             2.00          2.20        -34.06        -31.33          0.00
             2.20          2.40        -34.06        -31.33          0.00
             2.40          2.60        -34.06        -31.33          0.00
             2.60          2.80        -34.06        -31.33          0.00
             2.80          3.00        -34.06        -31.33          0.02
             3.00          3.20        -34.06        -31.33          0.00
             3.20          3.40        -34.06        -31.33          0.00
             3.40          3.60        -34.06        -31.33          0.00
             3.60          3.80        -34.06        -31.33          0.00
             3.80          4.00        -34.06        -31.33          1.29
             4.00          4.20        -34.06        -31.33          6.82
             4.20          4.40        -34.06        -31.33          0.00
             4.40          4.60        -34.06        -31.33         10.43
             4.60          4.80        -34.06        -31.33        335.68
             4.80          5.00        -34.06        -31.33       3073.21
             5.00          5.20        -34.06        -31.33      13389.47
             5.20          5.40        -34.06        -31.33      49816.09
             5.40          5.60        -34.06        -31.33     170376.72
             5.60          5.80        -34.06        -31.33     375828.24
             5.80          6.00        -34.06        -31.33     708148.06
             6.00          6.20        -34.06        -31.33    1219925.18
             6.20          6.40        -34.06        -31.33    1799014.84
             6.40          6.60        -34.06        -31.33    2603594.10
             6.60          6.80        -34.06        -31.33    3524068.53
             6.80          7.00        -34.06        -31.33    4523097.44
             7.00          7.20        -34.06        -31.33    5840383.54
             7.20          7.40        -34.06        -31.33    8053061.03
             7.40          7.60        -34.06        -31.33    9998504.96
             7.60          7.80        -34.06        -31.33   13058064.84
             7.80          8.00        -34.06        -31.33   15411807.10
             8.00          8.20        -34.06        -31.33   18266472.38
             8.20          8.40        -34.06        -31.33   21125571.38
             8.40          8.60        -34.06        -31.33   23374770.97
             8.60          8.80        -34.06        -31.33   27534644.91
             8.80          9.00        -34.06        -31.33   34001591.39
             9.00          9.20        -34.06        -31.33          0.00
             9.20          9.40        -34.06        -31.33          0.00
             9.40          9.60        -34.06        -31.33          0.00
             9.60          9.80        -34.06        -31.33          0.00
             9.80         10.00        -34.06        -31.33          0.00
             2.00          2.20        -31.33        -28.69          0.00
             2.20          2.40        -31.33        -28.69          0.00
             2.40          2.60        -31.33        -28.69          0.00
             2.60          2.80        -31.33        -28.69          0.00
             2.80          3.00        -31.33        -28.69          0.00
             3.00          3.20        -31.33        -28.69          0.00
             3.20          3.40        -31.33        -28.69          0.09
             3.40          3.60        -31.33        -28.69          0.38
             3.60          3.80        -31.33        -28.69          0.00
             3.80          4.00        -31.33        -28.69          2.93
             4.00          4.20        -31.33        -28.69          0.00
             4.20          4.40        -31.33        -28.69         26.00
             4.40          4.60        -31.33        -28.69         87.17
             4.60          4.80        -31.33        -28.69        450.68
             4.80          5.00        -31.33        -28.69       2673.50
             5.00          5.20        -31.33        -28.69      16842.54
             5.20          5.40        -31.33        -28.69      68997.25
             5.40          5.60        -31.33        -28.69     189622.19
             5.60          5.80        -31.33        -28.69     408773.59
             5.80          6.00        -31.33        -28.69     771698.90
             6.00          6.20        -31.33        -28.69    1317128.49
             6.20          6.40        -31.33        -28.69    2004270.50
             6.40          6.60        -31.33        -28.69    2781096.75
             6.60          6.80        -31.33        -28.69    3788511.82
             6.80          7.00        -31.33        -28.69    5108748.91
             7.00          7.20        -31.33        -28.69    6265580.44
             7.20          7.40        -31.33        -28.69    8071865.76
             7.40          7.60        -31.33        -28.69   10722610.39
             7.60          7.80        -31.33        -28.69   13488866.43
             7.80          8.00        -31.33        -28.69   15195944.17
             8.00          8.20        -31.33        -28.69   18037042.99
             8.20          8.40        -31.33        -28.69   22926350.42
             8.40          8.60        -31.33        -28.69   26687317.27
             8.60          8.80        -31.33        -28.69   32116879.05
             8.80          9.00        -31.33        -28.69   40215347.18
             9.00          9.20        -31.33        -28.69          0.00
             9.20          9.40        -31.33        -28.69          0.00
             9.40          9.60        -31.33        -28.69          0.00
             9.60          9.80        -31.33        -28.69          0.00
             9.80         10.00        -31.33        -28.69          0.00
             2.00          2.20        -28.69        -26.10          0.00
             2.20          2.40        -28.69        -26.10          0.00
             2.40          2.60        -28.69        -26.10          0.00
             2.60          2.80        -28.69        -26.10          0.00
             2.80          3.00        -28.69        -26.10          0.06
             3.00          3.20        -28.69        -26.10          0.00
             3.20          3.40        -28.69        -26.10          0.35
             3.40          3.60        -28.69        -26.10          0.35
             3.60          3.80        -28.69        -26.10          1.05
             3.80          4.00        -28.69        -26.10          0.00
             4.00          4.20        -28.69        -26.10          6.46
             4.20          4.40        -28.69        -26.10         11.69
             4.40          4.60        -28.69        -26.10         77.31
             4.60          4.80        -28.69        -26.10        452.11
             4.80          5.00        -28.69        -26.10       3384.09
             5.00          5.20        -28.69        -26.10      22704.84
             5.20          5.40        -28.69        -26.10      82930.30
             5.40          5.60        -28.69        -26.10     217683.55
             5.60          5.80        -28.69        -26.10     458263.02
             5.80          6.00        -28.69        -26.10     917791.98
             6.00          6.20        -28.69        -26.10    1443200.35
             6.20          6.40        -28.69        -26.10    2103362.91
             6.40          6.60        -28.69        -26.10    3013545.98
             6.60          6.80        -28.69        -26.10    4190200.76
             6.80          7.00        -28.69        -26.10    5433877.26
             7.00          7.20        -28.69        -26.10    6634064.49
             7.20          7.40        -28.69        -26.10    8360870.71
             7.40          7.60        -28.69        -26.10   11272576.55
             7.60          7.80        -28.69        -26.10   13824238.38
             7.80          8.00        -28.69        -26.10   16955309.53
             8.00          8.20        -28.69        -26.10   20409286.90
             8.20          8.40        -28.69        -26.10   24052402.16
             8.40          8.60        -28.69        -26.10   31533217.06
             8.60          8.80        -28.69        -26.10   34331692.99
             8.80          9.00        -28.69        -26.10   43665502.67
             9.00          9.20        -28.69        -26.10          0.00
             9.20          9.40        -28.69        -26.10          0.00
             9.40          9.60        -28.69        -26.10          0.00
             9.60          9.80        -28.69        -26.10          0.00
             9.80         10.00        -28.69        -26.10          0.00
             2.00          2.20        -26.10        -23.58          0.00
             2.20          2.40        -26.10        -23.58          0.00
             2.40          2.60        -26.10        -23.58          0.00
             2.60          2.80        -26.10        -23.58          0.00
             2.80          3.00        -26.10        -23.58          0.07
             3.00          3.20        -26.10        -23.58          0.00
             3.20          3.40        -26.10        -23.58          0.00
             3.40          3.60        -26.10        -23.58          1.28
             3.60          3.80        -26.10        -23.58          1.54
             3.80          4.00        -26.10        -23.58          1.72
             4.00          4.20        -26.10        -23.58          8.85
             4.20          4.40        -26.10        -23.58          0.00
             4.40          4.60        -26.10        -23.58         56.47
             4.60          4.80        -26.10        -23.58        644.38
             4.80          5.00        -26.10        -23.58       6285.47
             5.00          5.20        -26.10        -23.58      28481.68
             5.20          5.40        -26.10        -23.58      98682.71
             5.40          5.60        -26.10        -23.58     247988.79
             5.60          5.80        -26.10        -23.58     530336.76
             5.80          6.00        -26.10        -23.58     976908.11
